Dangerous Beat,TOTAL_DAMAGE_PER_BEAT,DANGEROUS_BEAT_TOTAL_DAMAGE,PERCENTAGE
1013.0,7300927.2816333054,1007382755.4846245,0.72474213419714806
1031.0,7573261.7262931177,1007382755.4846245,0.75177599428430031
1034.0,9834402.2945833616,1007382755.4846245,0.97623294036359565
111.0,9869515.3124860041,1007382755.4846245,0.9797185090525049
1122.0,8500096.985985104,1007382755.4846245,0.84378027514437037
114.0,23467513.124934532,1007382755.4846245,2.3295527938280962
121.0,10272138.915711712,1007382755.4846245,1.0196858006339471
1214.0,13337214.784530506,1007382755.4846245,1.3239471007337558
1215.0,7107325.594150898,1007382755.4846245,0.70552384934679147
122.0,19444051.048964351,1007382755.4846245,1.9301552407069296
1224.0,10014197.479406497,1007382755.4846245,0.99408069325039594
1225.0,8006849.2124884017,1007382755.4846245,0.79481698181705762
123.0,12122128.342123371,1007382755.4846245,1.2033289508010034
1231.0,12314512.170476895,1007382755.4846245,1.2224263422647845
1232.0,15316840.833983384,1007382755.4846245,1.5204589070630723
1233.0,7770650.8322028983,1007382755.4846245,0.77137024531104359
1235.0,9911485.6094456371,1007382755.4846245,0.98388478018739656
124.0,10969432.314021638,1007382755.4846245,1.088904118548718
131.0,9434974.4483157229,1007382755.4846245,0.93658288241958365
132.0,11551037.382596707,1007382755.4846245,1.1466383874160935
1411.0,9141010.9502666835,1007382755.4846245,0.90740196816940666
1432.0,10633126.826181971,1007382755.4846245,1.0555200362812109
1433.0,8547706.4591138847,1007382755.4846245,0.8485063311414156
1434.0,6257334.1892952127,1007382755.4846245,0.62114763779979332
1533.0,8371647.4843436154,1007382755.4846245,0.83102946112237586
1611.0,9557632.8771650176,1007382755.4846245,0.94875883323683652
1614.0,8381727.2714982945,1007382755.4846245,0.83203005271477704
1621.0,12044314.453740859,1007382755.4846245,1.1956045890369313
1622.0,15301327.177709851,1007382755.4846245,1.5189189108511987
1623.0,14546844.345288876,1007382755.4846245,1.4440235616591219
1624.0,8664180.9486703221,1007382755.4846245,0.86006842002196282
1631.0,10048405.192247821,1007382755.4846245,0.99747639489955398
1632.0,10045218.148270482,1007382755.4846245,0.9971600261747583
1633.0,9549277.7705856059,1007382755.4846245,0.94792944574395732
1711.0,11098476.380324986,1007382755.4846245,1.1017139533012763
1712.0,11469653.7456437,1007382755.4846245,1.1385596669387059
1722.0,10269727.195007904,1007382755.4846245,1.0194463960292248
1723.0,8907877.2135959119,1007382755.4846245,0.88425945005486761
1731.0,8389360.6593929902,1007382755.4846245,0.83278779726153795
1732.0,9913991.316643307,1007382755.4846245,0.98413351456209452
1733.0,10403894.764216809,1007382755.4846245,1.0327648262364564
1814.0,9600104.6301960889,1007382755.4846245,0.95297488247927564
1822.0,7308445.3943700008,1007382755.4846245,0.72548843570923605
1824.0,9389929.5172085017,1007382755.4846245,0.93211140116164304
1831.0,18175002.758813839,1007382755.4846245,1.8041804527486018
1832.0,8939461.8822112307,1007382755.4846245,0.88739476961869368
1833.0,11706088.896667724,1007382755.4846245,1.1620299069975883
1834.0,24252527.041791596,1007382755.4846245,2.4074788763010302
1911.0,7963862.3236734904,1007382755.4846245,0.79054979652121338
1921.0,7268141.7277803114,1007382755.4846245,0.72148760619629682
1922.0,7386904.8796613868,1007382755.4846245,0.73327688402882651
1925.0,8337687.4424268138,1007382755.4846245,0.82765834505632152
1931.0,7519273.382933788,1007382755.4846245,0.746416726114839
1935.0,7547862.8859365014,1007382755.4846245,0.74925472416940764
2011.0,9157655.5983873904,1007382755.4846245,0.90905423470167412
2012.0,7096217.5559830982,1007382755.4846245,0.70442118622224181
2211.0,11234587.311964903,1007382755.4846245,1.1152252955293291
