Dangerous Beat,CRASH_COUNT,AVERAGE_CRASH,Throshold
1013.0,640,569.58394160583941,626.54233576642343
1031.0,743,569.58394160583941,626.54233576642343
1034.0,936,569.58394160583941,626.54233576642343
111.0,826,569.58394160583941,626.54233576642343
1122.0,640,569.58394160583941,626.54233576642343
114.0,1841,569.58394160583941,626.54233576642343
121.0,918,569.58394160583941,626.54233576642343
1214.0,1096,569.58394160583941,626.54233576642343
1215.0,694,569.58394160583941,626.54233576642343
122.0,1728,569.58394160583941,626.54233576642343
1224.0,942,569.58394160583941,626.54233576642343
1225.0,724,569.58394160583941,626.54233576642343
123.0,977,569.58394160583941,626.54233576642343
1231.0,1066,569.58394160583941,626.54233576642343
1232.0,1293,569.58394160583941,626.54233576642343
1233.0,756,569.58394160583941,626.54233576642343
1235.0,809,569.58394160583941,626.54233576642343
124.0,918,569.58394160583941,626.54233576642343
131.0,931,569.58394160583941,626.54233576642343
132.0,858,569.58394160583941,626.54233576642343
1411.0,726,569.58394160583941,626.54233576642343
1432.0,869,569.58394160583941,626.54233576642343
1433.0,787,569.58394160583941,626.54233576642343
1434.0,628,569.58394160583941,626.54233576642343
1533.0,714,569.58394160583941,626.54233576642343
1611.0,802,569.58394160583941,626.54233576642343
1614.0,651,569.58394160583941,626.54233576642343
1621.0,877,569.58394160583941,626.54233576642343
1622.0,1230,569.58394160583941,626.54233576642343
1623.0,1210,569.58394160583941,626.54233576642343
1624.0,806,569.58394160583941,626.54233576642343
1631.0,759,569.58394160583941,626.54233576642343
1632.0,832,569.58394160583941,626.54233576642343
1633.0,838,569.58394160583941,626.54233576642343
1711.0,940,569.58394160583941,626.54233576642343
1712.0,989,569.58394160583941,626.54233576642343
1722.0,908,569.58394160583941,626.54233576642343
1723.0,829,569.58394160583941,626.54233576642343
1731.0,754,569.58394160583941,626.54233576642343
1732.0,894,569.58394160583941,626.54233576642343
1733.0,925,569.58394160583941,626.54233576642343
1814.0,833,569.58394160583941,626.54233576642343
1822.0,696,569.58394160583941,626.54233576642343
1824.0,920,569.58394160583941,626.54233576642343
1831.0,1771,569.58394160583941,626.54233576642343
1832.0,857,569.58394160583941,626.54233576642343
1833.0,1107,569.58394160583941,626.54233576642343
1834.0,2202,569.58394160583941,626.54233576642343
1911.0,739,569.58394160583941,626.54233576642343
1921.0,656,569.58394160583941,626.54233576642343
1922.0,725,569.58394160583941,626.54233576642343
1925.0,817,569.58394160583941,626.54233576642343
1931.0,672,569.58394160583941,626.54233576642343
1935.0,709,569.58394160583941,626.54233576642343
2011.0,858,569.58394160583941,626.54233576642343
2012.0,645,569.58394160583941,626.54233576642343
2211.0,959,569.58394160583941,626.54233576642343
2212.0,860,569.58394160583941,626.54233576642343
2213.0,655,569.58394160583941,626.54233576642343
2221.0,635,569.58394160583941,626.54233576642343
2223.0,712,569.58394160583941,626.54233576642343
2411.0,1028,569.58394160583941,626.54233576642343
2412.0,810,569.58394160583941,626.54233576642343
2413.0,1202,569.58394160583941,626.54233576642343
2432.0,680,569.58394160583941,626.54233576642343
2433.0,751,569.58394160583941,626.54233576642343
2511.0,654,569.58394160583941,626.54233576642343
2512.0,1145,569.58394160583941,626.54233576642343
2514.0,756,569.58394160583941,626.54233576642343
2515.0,806,569.58394160583941,626.54233576642343
2521.0,916,569.58394160583941,626.54233576642343
2533.0,1035,569.58394160583941,626.54233576642343
2534.0,712,569.58394160583941,626.54233576642343
331.0,919,569.58394160583941,626.54233576642343
411.0,789,569.58394160583941,626.54233576642343
412.0,758,569.58394160583941,626.54233576642343
413.0,700,569.58394160583941,626.54233576642343
432.0,628,569.58394160583941,626.54233576642343
511.0,834,569.58394160583941,626.54233576642343
622.0,800,569.58394160583941,626.54233576642343
623.0,909,569.58394160583941,626.54233576642343
632.0,918,569.58394160583941,626.54233576642343
811.0,940,569.58394160583941,626.54233576642343
813.0,1516,569.58394160583941,626.54233576642343
814.0,695,569.58394160583941,626.54233576642343
815.0,1491,569.58394160583941,626.54233576642343
821.0,964,569.58394160583941,626.54233576642343
822.0,1014,569.58394160583941,626.54233576642343
823.0,885,569.58394160583941,626.54233576642343
824.0,682,569.58394160583941,626.54233576642343
833.0,1223,569.58394160583941,626.54233576642343
834.0,1129,569.58394160583941,626.54233576642343
835.0,902,569.58394160583941,626.54233576642343
911.0,891,569.58394160583941,626.54233576642343
912.0,925,569.58394160583941,626.54233576642343
914.0,830,569.58394160583941,626.54233576642343
922.0,778,569.58394160583941,626.54233576642343
924.0,648,569.58394160583941,626.54233576642343
